qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
0,How does the woman react when she sees the man?,3,0-HM2VCdrC0,The woman is happy to see the man and runs to hug him.,"The woman barely acknowledges the man and quickly walks away, clearly upset.",The woman greets the man and says hi to him.,The woman is devastated to see the man and doesn't want to talk to him.,0,60
1,Is the man proud of the woman's actions?,1,0-HM2VCdrC0,The man thinks the woman is at fault for their relationship struggles.,"Yes, the man praises the woman's actions, saying that he thought it was amazing and he was proud of her for doing something for himself.","No, the man criticizes the woman's actions, stating that what she did was unacceptable and he was disappointed in her.",The man is angry at the woman for causing a scene.,0,60
2,What is the man's attitude during the conversation?,0,0-HM2VCdrC0,"The man is contrite and so takes the woman's barbs with no complaint, knowing that she is justified in her anger.",The man is trying to sell a car to the woman.,He feels like he is being attacked during the argument.,The man is dismissive of the woman's concerns and starts talking over her.,0,60
3,Why did the man chase after the woman and grab her wrist when she was about to walk away?,3,0-HM2VCdrC0,The man's pride does not allow someone to walk off on him while he is still,The man wants to steal her purse.,The man is lost and needs directions.,The man wants to apologize to her for what he did and say how he really feels about her.,0,60
4,Why is the woman infuriated at the man?,2,0-HM2VCdrC0,She became angrier because the man was not meeting her expectations.,"No, the woman is angry at the man because he is not giving her enough attention.",The woman is infuriated at the man because he has been lying to her and using her for his own benefit.,The woman is infuriated at the man because he has been harassing her for,0,60
5,How does the man feel about the current state of society?,0,02A2a-aEvmI,There is war going on.,"Yes, he appears to give hopeful responses.",He is satisfied and content,The man is worried about his car breaking down.,0,59
6,How does the man feel towards the woman?,3,02A2a-aEvmI,He is dismissive towards her and doesn't care.,He thinks she is annoying.,wants her to leave him alone.,He thinks she is mysterious.,0,59
7,How does the woman feel about the man?,0,02A2a-aEvmI,She wants to learn more about the man.,She thinks the man is handsome.,She loves him,She is annoyed by the man's presence.,0,59
8,Why does the man continue to ask the woman questions after the woman suggested he not?,0,02A2a-aEvmI,He wants to learn more.,He wants to tease her because she tells him to stop asking her questions.,The man is trying to impress the woman.,The man is distracted by the woman's outfit.,0,59
9,Why was the woman initially friendly with the man but then not friendly?,2,02A2a-aEvmI,The woman was initially friendly with the man but then not friendly because she found out he was broke.,The woman was initially friendly with the man but then not friendly because she didn't want the other woman to hear their conversation.,"The woman wanted to flirt with the man, and is making sure she isn't coming on too strong.",to offer the man a ride to her hotel and ignore his complaints.,0,59
